,Stock1,Stock2
578,ARE,ORCL
579,ARE,OTIS
580,ARE,PCAR
581,ARE,PKG
582,ARE,PNR
583,ARE,PEP
584,ARE,PLD
585,ARE,QRVO
586,ARE,DGX
587,ARE,RMD
588,ARE,SWKS
589,ARE,STT
590,ARE,TROW
591,ARE,TGT
592,ARE,TER
593,ARE,TXN
594,ARE,UNP
595,ARE,ZTS
596,ALXN,AMP
597,ALXN,AME
598,ALXN,ADI
599,ALXN,AVY
600,ALXN,BR
601,ALXN,CAT
602,ALXN,CTVA
603,ALXN,CSX
604,ALXN,DOW
605,ALXN,EMN
606,ALXN,FFIV
607,ALXN,FRC
608,ALXN,FCX
609,ALXN,GM
610,ALXN,HON
611,ALXN,HPQ
612,ALXN,IEX
613,ALXN,IR
614,ALXN,ICE
615,ALXN,IP
616,ALXN,IQV
617,ALXN,LB
618,ALXN,MXIM
619,ALXN,MS
620,ALXN,NWSA
621,ALXN,NWS
622,ALXN,ORCL
623,ALXN,PKG
624,ALXN,PTC
625,ALXN,PWR
626,ALXN,RHI
627,ALXN,SBUX
628,ALXN,TROW
629,ALXN,TXN
630,ALXN,TJX
631,ALXN,TT
632,ALXN,TRMB
633,ALXN,DIS
634,ALLE,ALL
635,ALLE,BAC
636,ALLE,LUMN
637,ALLE,NTRS
638,ALLE,PM
639,ALLE,TJX
640,LNT,AMP
641,LNT,AME
642,LNT,AOS
643,LNT,AMAT
644,LNT,ADM
645,LNT,AJG
646,LNT,AIZ
647,LNT,AVY
648,LNT,BAC
649,LNT,BWA
650,LNT,COG
651,LNT,CZR
652,LNT,COF
653,LNT,CAT
654,LNT,CDW
655,LNT,CE
656,LNT,SCHW
657,LNT,CMS
658,LNT,CMCSA
659,LNT,CPRT
660,LNT,GLW
661,LNT,CTVA
662,LNT,CVS
663,LNT,DOV
664,LNT,DOW
665,LNT,ETN
666,LNT,EW
667,LNT,EFX
668,LNT,EXPD
669,LNT,FIS
670,LNT,FISV
671,LNT,FTNT
672,LNT,FBHS
673,LNT,FCX
674,LNT,GPS
675,LNT,IT
676,LNT,GNRC
677,LNT,GPC
678,LNT,GPN
679,LNT,HPQ
680,LNT,ITW
681,LNT,IP
682,LNT,IPG
683,LNT,JBHT
684,LNT,KSU
685,LNT,LEG
686,LNT,LKQ
687,LNT,LOW
688,LNT,LYB
689,LNT,MMC
690,LNT,NWL
691,LNT,NWSA
692,LNT,NWS
693,LNT,NTRS
694,LNT,NUE
695,LNT,NXPI
696,LNT,ODFL
697,LNT,ORCL
698,LNT,OTIS
699,LNT,PKG
700,LNT,PNR
701,LNT,PM
702,LNT,PPG
703,LNT,PHM
704,LNT,PWR
705,LNT,RJF
706,LNT,RSG
707,LNT,RHI
708,LNT,STX
709,LNT,SNA
710,LNT,STT
711,LNT,TROW
712,LNT,TGT
713,LNT,UNP
714,LNT,UPS
715,LNT,VZ
716,LNT,WU
717,LNT,WRK
718,ALL,ADP
719,ALL,BAC
720,ALL,BK
